,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,PlayStyles,PlayStyles +,Number of playstyles,
13,J. Zirkzee ST,22,75+2,84+2,"Bologna
2022 ~ 2026",250961,"193cm / 6'4""",89kg / 196lbs,Right,78,CAM,9,"Aug 30, 2022",N/A,€12.5M,€28K,€23.8M,332,55,78+1,58,74+4,67,346,81+5,68,66,49+4,82+3,366,74+7,74+6,84+18,74+5,60,378,76+3,79+3,63,84,76+5,284,43,14,76+2,74+4,77+10,74,50,20,14,16,51,6,11,12,8,14,1807,387,3,3,Medium,Low,1,Normal (185+),Yes,74,77,66,80,20,70,,,,0,
14,D. Núñez ST LW,24,82,87,"Liverpool
2022 ~ 2028",253072,"187cm / 6'2""",81kg / 179lbs,Right,85,ST,5,"Jul 1, 2022",N/A,€46.5M,€120K,€89.5M,379,68,81,79,73,78,360,79,75,61,68,77,408,88,92,78,84,66,427,85,94,88,85,75,367,82,44,86,77,78,79,116,39,43,34,59,14,10,12,10,13,2116,452,3,3,High,High,3,Normal (170-185),Yes,90,81,72,78,45,86,,Rapid Quick Step,,2,
15,Palhinha CDM CM,27,84,85,"Fulham
2022 ~ 2028",229391,"190cm / 6'3""",85kg / 187lbs,Right,86,CB,1,"Jul 4, 2022",N/A,€43M,€110K,€84.9M,339,60,66,79,79,55,349,77,66,45,80,81,322,59,67,64,80,52,409,81,84,88,90,66,376,95,83,69,72,57,84,259,84,88,87,46,14,10,8,7,7,2100,454,4,2,Medium,High,2,Normal (185+),Yes,63,68,72,76,85,90,,Long Ball Pass Slide Tackle,Bruiser +,3,
16,R. Araujo CB RB,24,86,91,"FC Barcelona
2018 ~ 2026",253163,"188cm / 6'2""",79kg / 174lbs,Right,88,CB,5,"Aug 29, 2018",N/A,€93M,€175K,€197.6M,313,58,56,85,76,38,281,55,47,45,66,68,357,76,86,56,84,55,354,68,92,72,87,35,330,87,85,56,59,43,76,258,86,86,86,53,11,14,9,11,8,1946,432,3,2,Medium,High,3,Normal (185+),Yes,82,53,65,62,86,84,,Power Header Jockey Anticipate Slide Tackle Acrobatic,Block +,6,
17,E. Ferguson ST,18,74,86,"Brighton & Hove Albion
2021 ~ 2029",259608,"188cm / 6'2""",75kg / 165lbs,Right,76,ST,12,"Jan 9, 2021",N/A,€10M,€26K,€21M,319,45,79,71,74,50,311,70,64,52,52,73,345,70,74,66,69,66,366,73,80,66,75,72,287,61,13,79,67,67,72,47,20,13,14,54,9,8,14,12,11,1729,369,3,3,Medium,Medium,1,Normal (185+),Yes,72,74,62,70,21,70,,Finesse Shot,,1,
18,Alejandro Garnacho LW LM,19,74,87,"Manchester United
2021 ~ 2028",268438,"180cm / 5'11""",72kg / 159lbs,Right,75,CAM,13,"Jul 28, 2021",N/A,€10M,€50K,€25.3M,316,68,70,44,69,65,342,76,75,61,56+4,74,420,86,83,87+2,76,88+1,321,77,58,72+3,47,67,304,64,40,75,69,56,73,98,32+4,37,29,55,6,15,14,13,7,1856,391,4,3,High,Medium,1,Lean (170-185),Yes,84,70,67,77,36,57,,Finesse Shot Technical Flair Quick Step,,4,
19,J. Hato CB LB,17,73,88,"Ajax
2022 ~ 2025",272978,"182cm / 6'0""",76kg / 168lbs,Left,75,CDM,15,"Mar 14, 2022",N/A,€6.5M,€550,€13.2M,270,55,36,67,77,35,299,67,54,31,73,74,395,82,88,75,75,75,304,53,86,69,67,29,294,67,77,52,64,34,72,216,72,74,70,40,8,5,5,13,9,1818,402,3,2,Medium,Medium,1,Normal (170-185),No,85,39,66,71,73,68,,,,0,
20,D. Udogie LB LM,20,79+1,86,"Tottenham Hotspur
2022 ~ 2030",259583,"186cm / 6'1""",73kg / 161lbs,Left,80,LWB,7,"Aug 17, 2022",N/A,€33M,€55K,€69.3M,338,76,64,64,76+2,58,331,78,59,51,65+1,78,401,86,89,80,76+2,70,369,71,83,80+1,76,59,340,77,75+3,75+2,67+2,46,66+2,228,75+1,79+2,74+1,57,8,14,11,10,14,2064,452,3,3,High,High,1,Normal (185+),Yes,88,64,70,77,75,78,,Whipped Cross Quick Step,,2,
21,Arnau Martínez RB CB RWB,20,80,86,"Girona
2020 ~ 2025",260815,"181cm / 5'11""",72kg / 159lbs,Right,80,RB,6,"Jul 1, 2020",N/A,€30.5M,€22K,€70.2M,318,80,50,74,79,35,328,76,68,40,66,78,380,82,78,75,79,66,327,56,82,78,66,45,321,68,77,61,65,50,65,229,73,79,77,43,10,7,7,10,9,1946,424,3,2,High,Medium,1,Lean (170-185),Yes,80,50,72,76,76,70,,Whipped Cross Jockey,,2,
22,E. Haaland ST,22,91,94,"Manchester City
2022 ~ 2027",239085,"195cm / 6'5""",94kg / 207lbs,Left,93,ST,3,"Jul 1, 2022",N/A,€185M,€340K,€356.1M,393,47,96,83,77,90,353,79,77,62,53,82,418,82,94,76,94,72,442,94,93,76,93,86,386,87,43,96,74,86,87,114,38,47,29,52,7,14,13,11,7,2158,461,3,3,High,Medium,5,Unique,Yes,89,93,66,80,45,88,,Power Header Quick Step,Acrobatic +,3,
23,R. Drăgușin CB,21,71,83,"Genoa
2023 ~ 2027",260105,"191cm / 6'3""",80kg / 176lbs,Right,73,CB,12,"Jul 1, 2023",N/A,€4.3M,€10K,€8.6M,229,36,27,70,58,38,238,55,37,33,54,59,336,69,78,63,67,59,321,56,79,67,79,40,249,66,69,25,40,49,68,219,67,77,75,53,10,11,14,12,6,1645,361,3,2,Medium,High,1,Lean (185+),No,74,37,47,58,72,73,,,,0,
24,R. Bardghji RW,17,70,85,"København
2021 ~ 2025",265600,"173cm / 5'8""",67kg / 148lbs,Left,71,CAM,15,"Nov 14, 2021",N/A,€3.6M,€3K,€6.9M,278,60,70,24,64,60,327,72,66,63,55,71,392,77,74,86,67,88,298,70,48,66,49,65,280,52,28,73,66,61,69,91,32,30,29,63,8,14,13,14,14,1729,363,4,4,High,Medium,1,Lean (170-185),No,75,68,62,74,30,54,,Technical Flair Trickster,,3,
25,M. Rashford LW RW ST,25,84,85,"Manchester United
2015 ~ 2028",231677,"186cm / 6'1""",70kg / 154lbs,Right,84,LW,1,"Nov 21, 2015",N/A,€50.5M,€170K,€99.7M,381,76,82-2,71-3,79,73-1,396,86,80-2,75-2,72,83,410,88,91,80-1,82-2,69-3,388,93,82-2,70-3,65-4,78-1,326,54-6,27-5,83-2,77,85,76-2,83,30-5,29-4,24-4,53,11,6,15,7,14,2037,431,3,5,Medium,Low,3,Unique,Yes,90,83,77,83,33,65,,Technical Flair Quick Step,Power Shot +,4,
26,Kim Min Jae CB,26,84,86,"FC Bayern München
2023 ~ 2028",237086,"190cm / 6'3""",86kg / 190lbs,Right,86,CB,2,"Jul 18, 2023",N/A,€46M,€82K,€79.4M,238,35,23,81,75,24,248,57,36,23,64,68,371,75,84,65,82,65,337,51,84,77,88,37,304,84,85,48,57,30,73,258,86,87,85,56,13,7,11,14,11,1812,404,3,2,Low,High,2,Normal (185+),Yes,80,33,57,64,86,84,,Power Header Intercept Slide Tackle Aerial,,4,
27,T. Almada CAM CM CF,22,79,87,"Atlanta United
2022 ~ 2025",245371,"171cm / 5'7""",62kg / 137lbs,Right,82,CAM,8,"Feb 10, 2022",N/A,€39.5M,€10K,€67.2M,328,66,72,39,78,73,404,82,85,84,71,82,431,91,81,92,74,93,337,75,57,75,55,75,351,64,58,78,76,75,81,152,44,57,51,47,12,8,9,8,10,2050,431,4,4,High,Low,3,Normal (170-185),No,86,74,75,83,51,62,,Finesse Shot Pinged Pass Rapid First Touch Quick Step,,5,
28,R. Lavia CDM,19,73,86,"Chelsea
2023 ~ 2030",263620,"181cm / 5'11""",75kg / 165lbs,Right,74,CDM,13,"Aug 18, 2023",N/A,€7M,€32K,€17.7M,262,50,36,62,78,36,326,76,60,50,65,75,359,72,69,73,69,76,322,59,77,75,75,36,299,71,72,40,65,51,75,218,74,73,71,43,7,7,5,11,13,1829,399,3,3,Medium,High,1,Normal (170-185),Yes,70,42,66,75,72,74,,,,0,
29,G. Rutter ST RM,21,73,82,"Leeds United
2023 ~ 2028",245637,"182cm / 6'0""",77kg / 170lbs,Left,75,ST,9,"Jan 17, 2023",N/A,€7M,€28K,€14.7M,329,52,71,69,69,68,322,79,60,45,60,78,374,75,78,75,74,72,369,73,80,72,75,69,263,35,18,74,72,64,71,65,22,26,17,50,6,10,14,10,10,1772,382,5,4,High,Medium,1,Normal (170-185),Yes,77,71,63,77,27,67,,Technical Flair,,2,
30,M. Tel ST LM RM,18,73,88,"FC Bayern München
2022 ~ 2027",268421,"183cm / 6'0""",77kg / 170lbs,Right,75,ST,15,"Jul 26, 2022",N/A,€7M,€17K,€15.9M,326,56,78,61,68,63,336,79,65,56,59,77,367,79,75,77,60,76,350,82,75,53,67,73,273,48,18,73,70,64,74,79,22,26,31,54,12,9,15,7,11,1785,381,4,4,High,Medium,1,Normal (170-185),Yes,77,76,64,77,27,60,,,,0,
31,S. Pafundi CAM RM,17,67,86,"Udinese
2022 ~ 2026",271575,"164cm / 5'5""",59kg / 130lbs,Left,69,CAM,19,"Jul 1, 2022",N/A,€2.5M,€750,€6.1M,308,64,61,55,67,61,351,71,74,71,64,71,395,83,73,87,57,95,286,73,60,46,42,65,311,61,55,61,65,69,70,122,47,39,36,43,7,10,11,7,8,1816,376,3,3,High,Medium,1,Normal (170-),Yes,78,65,66,73,46,48,,Finesse Shot Technical Flair,,3,
32,D. Szoboszlai CAM CM,22,82,87,"Liverpool
2023 ~ 2028",236772,"186cm / 6'1""",74kg / 163lbs,Right,84,CAM,5,"Jul 2, 2023",N/A,€47M,€110K,€90.5M,388,85,77,58,83,85,424,83,90,87,81,83,393,78,87,80,80,68,390,89,73,74,67,87,351,62+7,47,79,84,79,82,157,50,56+11,51+11,49,10,10,13,10,6,2152,451,4,4,High,High,2,Normal (185+),Yes,83,82,84,82,52,68,,Power Shot Whipped Cross Technical Flair Trivela,Dead Ball +,6,
33,J. Álvarez ST CF CAM,23,81,87,"Manchester City
2022 ~ 2028",246191,"170cm / 5'7""",71kg / 157lbs,Right,84,CAM,6,"Jan 31, 2022",N/A,€41M,€125K,€84.1M,383,77,83,69,78,76,406,83,84,80,74,85,420,84,78,87,84,87,402,86,80,83,70,83,366,84,46,84,79,73,84,161,60,55,46,45,6,10,8,15,6,2183,458,4,4,High,High,2,Normal (170-),Yes,81,83,78,84,55,77,,Finesse Shot Flair,Press Proven +,3,
34,J. Musiala CAM CM LM,20,86,93,"FC Bayern München
2020 ~ 2026",256790,"184cm / 6'0""",72kg / 159lbs,Right,88,CAM,7,"Jun 3, 2020",N/A,€134.5M,€79K,€248.8M,347,67,79,49,82,70,380,94,69,51,77,89,441,84,86,93,86,92,344,73,65,78,53,75,342,59,65,81,82,55,84,195,64,63,68,42,6,9,8,8,11,2091,451,4,5,Medium,Medium,3,Lean (170-185),Yes,85,75,76,91,63,61,,Flair First Touch Trickster,Technical +,4,
35,António Silva CB,19,78,88,"Benfica
2022 ~ 2027",270086,"187cm / 6'2""",80kg / 176lbs,Right,80,CB,10,"Apr 2, 2022",N/A,€28.5M,€8K,€62.7M,271,45,28,74,74,50,277,69,36,26,73,73,339,75,79,54,79,52,317,51,79,83,82,22,287,66,80,34,67,40,77,239,80,81,78,44,12,10,8,6,8,1774,400,2,2,Medium,High,2,Lean (185+),No,77,33,62,69,80,79,,Long Ball Pass Block Intercept,,3,
36,K. Thuram CM CDM,22,79,84,"Nice
2019 ~ 2025",247246,"192cm / 6'4""",81kg / 179lbs,Right,81,CM,5,"Jul 6, 2019",N/A,€27M,€42K,€53.3M,360,72,75,76,82,55,366,80,72,56,78,80,364,73,72,71,78,70,393,74,86,82,80,71,363,70,77,78,79,59,79,228,77,77,74,50,7,9,14,11,9,2124,455,3,3,High,High,2,Normal (185+),No,72,72,77,78,77,79,,Incisive Pass Press Proven Relentless,,3,
37,V. Boniface ST,22,78,85,"Bayer 04 Leverkusen
2023 ~ 2028",247679,"190cm / 6'3""",91kg / 201lbs,Right,80,ST,7,"Jul 22, 2023",N/A,€29M,€48K,€55.1M,340,48,78,74,69,71,335,81+3,61,58,58,77+1,352,69,79,68,78,58,407,86+2,85,73,88,75,332,79+1,33,80,70,70,72,95,38,31,26,45,14,5,7,7,12,1906,411,3,3,Medium,Medium,1,Stocky (185+),No,75,78,62,77,37,82,,,,0,
38,B. Šeško ST,20,76,85,"RB Leipzig
2023 ~ 2028",260592,"194cm / 6'4""",85kg / 187lbs,Right,78,ST,9,"Jul 1, 2023",N/A,€16.5M,€36K,€31.4M,342,55,77,74,68,68,317,74,59,56,52,76,375,78,84,74,70,69,395,79,89,73,83,71,291,62,32,75,61,61,73,119,42,42,35,43,10,8,5,14,6,1882,411,3,3,Medium,Medium,1,Lean (185+),No,81,75,61,74,43,77,,Power Shot Technical Flair,,3,
39,Fresneda RWB RB,18,72,85,"Sporting CP
2023 ~ 2028",266253,"183cm / 6'0""",74kg / 163lbs,Right,72,RWB,13,"Aug 30, 2023",N/A,€5M,€2K,€13.1M,272,65,43,60,69,35,285,75,50,30,53,77,364,77,75,71,67,74,295,43,75,76,67,34,279,62,65,58,53,41,60,208,68,73,67,48,14,5,12,6,11,1751,388,3,3,Medium,Medium,2,Normal (170-185),Yes,76,41,60,74,68,69,,Jockey Block Technical First Touch,,4,
40,W. Weghorst ST,30,77,77,"TSG Hoffenheim
Jun 30, 2024 On loan",223689,"197cm / 6'6""",84kg / 185lbs,Right,77,ST,0,"Jan 31, 2022","Jun 30, 2024",€10.5M,€51K,€0,352,38,75,86,77,76,287,65,40,48,54,80,287,52,60,54,81,40,413,84,88,83,90,68,362,87,54,80,70,71,74,164,48,64,52,62,11,9,14,16,12,1927,407,3,2,High,High,2,Normal (185+),Yes,56,76,61,68,58,88,,Power Header,,1,
41,X. Simons CAM LW RW,20,81,89,"RB Leipzig
Jun 30, 2024 On loan",245367,"179cm / 5'10""",61kg / 134lbs,Right,83,CAM,8,"Jul 18, 2023","Jun 30, 2024",€56.5M,€66K,€0,354,74,78,60,80,62,392,85,82,65,76,84,428,89,85,89,81,84,380,78,71,84,67,80,359,79,65,75,79,61,78,178,60,62,56,43,9,11,5,8,10,2134,461,3,4,High,High,2,Lean (170-185),Yes,87,77,77,85,61,74,,Chip Shot Tiki Taka Technical Flair First Touch Trivela,,6,
42,F. Valverde CM,24,88,92,"Real Madrid
2016 ~ 2029",239053,"182cm / 6'0""",78kg / 172lbs,Right,90,CM,4,"Jul 22, 2016",N/A,€130.5M,€270K,€277.3M,373,78,79,59,87,70,402,83,74,69,88,88,409,84,91,77,89,68,425,89,80,89,80,87,395,81,83,86,86,59,84,243,79,85,79,45,6,10,6,15,8,2292,500,4,3,High,High,3,Unique,Yes,88,82,84,84,80,82,,Power Shot Long Ball Pass Rapid Relentless Trivela,,5,
43,Rafael Leão LW CF LM,24,86,91,"Milan
2019 ~ 2028",241721,"188cm / 6'2""",81kg / 179lbs,Right,86,LW,5,"Aug 1, 2019",N/A,€102.5M,€110K,€181.9M,381,78,84,65,80,74,379,89,80,60,63,87,435,93,93,85,84,80,396,80,85,77,80,74,306,60,24,84,75,63,83,67,22,24,21,57,10,12,15,11,9,2021,438,4,5,Medium,Low,2,Normal (185+),Yes,93,80,75,87,27,76,,Finesse Shot Whipped Cross Flair Trickster Quick Step,Rapid +,6,
44,V. Barco LB LM LWB,18,71,84,"Boca Juniors
2020 ~ 2025",263370,"172cm / 5'8""",68kg / 150lbs,Left,73,CM,13,"Oct 23, 2020",N/A,€4.2M,€3K,€8.5M,266,71,42,50,73,30,355,75,75,60,71,74,385,76,76,82,73,78,273,44,59,70,48,52,347,70,65,73,72,67,72,204,68,68,68,49,12,10,9,6,12,1879,394,3,3,High,Medium,1,Normal (170-185),No,76,47,72,75,66,58,,Technical Flair,,2,
45,Cristiano Ronaldo ST,38,86,86,"Al Nassr
2023 ~ 2025",20801,"187cm / 6'2""",85kg / 187lbs,Right,86,ST,0,"Jan 1, 2023",N/A,€23M,€66K,€36.8M,409,76,87,87,76,83,387,77,79,75,70,86,377,73,80,76,87,61,423,92,93,77,76,85,347,62,29,90,76,90,92,80,24,32,24,58,7,11,15,14,11,2081,428,4,5,High,Low,5,Unique,Yes,77,88,75,80,34,74,,Power Header Flair Trickster Trivela Acrobatic Aerial,Power Shot +,7,
46,W. Saliba CB,22,84,89,"Arsenal
2019 ~ 2027",243715,"193cm / 6'4""",85kg / 187lbs,Right,86,CB,5,"Jul 25, 2019",N/A,€58.5M,€120K,€112.6M,285,58,35,74,84,34,321,73,55,35,77,81,356,77,86,50,84,59,330,60,88,72,87,23,317,83,82,43,62,47,83,256,85,87,84,42,7,10,6,8,11,1907,430,3,2,Medium,High,2,Normal (185+),Yes,82,39,69,73,84,83,,Jockey Anticipate,,2,
47,M. Caicedo CDM CM,21,79-1,85,"Chelsea
2023 ~ 2031",256079,"178cm / 5'10""",71kg / 157lbs,Right,80,CDM,6,"Aug 14, 2023",N/A,€26M,€67K,€54.6M,303,53,58,57,83-2,52,336,73,51,54,76,82-1,370,75-2,71,74,75-1,75,367,72,72-1,82,70,71,342,73,78-1,65-3,72-2,54,79,237,78,81,78,56,15,6,13,9,13,2011,434,3,3,High,High,2,Normal (170-185),Yes,73,63,71,76,77,74,,Incisive Pass Tiki Taka Intercept Anticipate Slide Tackle Relentless,,6,
48,N. Barella CM,26,86,88,"Inter
2020 ~ 2026",224232,"175cm / 5'9""",68kg / 150lbs,Right,87,CM,2,"Sep 1, 2020",N/A,€83.5M,€135K,€148.2M,376,79,78,53,86,80,397,81,79,67,83,87,426,79,78,90,89,90,396,77,73,94,73,79,406,84,83,83,83,73,86,240,80,79,81,54,11,5,13,14,11,2295,481,3,3,High,High,3,Normal (170-),Yes,78,78,82,85,78,80,,Tiki Taka Slide Tackle,Relentless +,3,
49,C. Palmer RM RW CAM,21,71,83,"Chelsea
2023 ~ 2030",257534,"189cm / 6'2""",74kg / 163lbs,Left,73,CAM,12,"Sep 1, 2023",N/A,€4.6M,€38K,€9.7M,297,65,69,43,67,53,340,75,67,57,64,77,349,71,76,74,63,65,313,69,57,66,57,64,307,50,40,70,72,75,70,143,48,47,48,51,7,6,10,14,14,1800,387,3,4,Medium,Medium,1,Lean (185+),Yes,74,68,67,74,46,58,,Technical,,1,
50,Moleiro LM CM CAM,19,77,87-1,"Las Palmas
2021 ~ 2026",264388,"172cm / 5'8""",67kg / 148lbs,Right,79,CAM,10,"Jul 1, 2021",N/A,€23M,€12K,€52.9M,315,62,65,57,78,53,353,82,65,52,74,80,408,86,81,88,70,83,339,70,74,67,60,68,322,60,48,74,81,59,71,155,47,55,53,45,6,9,11,8,11,1937,416,4,3,Medium,Medium,1,Normal (170-185),No,83,66,73,81,51,62,,Pinged Pass Technical First Touch,,3,
51,K. Mbappé ST LW,24,91,94,"Paris Saint Germain
2018 ~ 2024",231747,"182cm / 6'0""",75kg / 165lbs,Right,93,ST,3,"Jul 1, 2018",N/A,€181.5M,€230K,€349.4M,415,78,94,73,86,84,405,93,80,69,71,92,462,97,97,93,93,82,426,90,88,88,77,83,362,64,38,93,83,84,88,92,26,34,32,42,13,5,7,11,6,2204,473,4,5,High,Low,5,Unique,Yes,97,90,80,92,36,78,,Finesse Shot Rapid Flair Trivela Acrobatic,Quick Step +,6,
